lembaga,kelompok_koordinator,npsn,nama_pt,nm_bp,provinsi_pt,jln,kec_pt,Kabupaten/Kota,website,no_tel,email
Badan Intelijen Negara,PTK,513001  ,Sekolah Tinggi Intelijen Negara	,Sekolah Tinggi,Prop. Jawa Barat              ,,Kec. Babakan Madang           ,Kab. Bogor                    ,www.stin.ac.id,02518271478,
Badan Meteorologi Klimatologi dan Geofisika,PTK,303001  ,Sekolah Tinggi Meteorologi Klimatologi dan Geofisika,Sekolah Tinggi,Prop. Banten                  ,,Kec. Pondok Aren              ,Kota tangerang Selatan        ,https://stmkg.ac.id,(021) 73691621,admin@stmkg.ac.id
Badan Pusat Statistik,PTK,335001  ,Politeknik Statistika STIS,Politeknik,Prop. D.K.I. Jakarta          ,,,Kota Jakarta Pusat            ,www.stis.ac.id,"(021) 8191437, 85088",info@stis.ac.id
Badan Tenaga Nuklir Nasional,PTK,323001  ,Sekolah Tinggi Teknologi Nuklir Yogyakarta,Sekolah Tinggi,Prop. D.I. Yogyakarta         ," Sekolah Tinggi Teknologi Nuklir

Jalan Babarsari Kotak Pos 6101 YKBB

Yogyakart",,Kab. Sleman                   ,www.sttn-batan.ac.id,0274-484085;489716,sttn@sttn-batan.ac.id
Ditjen Pendidikan Islam,PTK,213634  ,Sekolah Tinggi Ilmu Syari'ah Darussalam Bermi,Sekolah Tinggi,Prop. Nusa Tenggara Barat     ,Jl. Diponegoro Berminat Babusslam Gerung Lombok Barat Nusa Tenggara Barat,Kec. Gerung                   ,Kab. Lombok Barat             ,,,
Kementerian Agraria dan Tata Ruang/Badan Pertanahan Nasional,PTK,313001  ,Sekolah Tinggi Pertanahan Nasional Yogyakarta,Sekolah Tinggi,Prop. D.I. Yogyakarta         , Jl.Tata Bumi No. 5 Yogyakarta,,Kab. Sleman                   ,www.stpn.ac.id,0274-587239,pdpt.stpn@yahoo.co.id
Kementerian Dalam Negeri,PTK,344004  ,Akademi Keperawatan Tjoet Nya' Dhien Banda Aceh,Akademi,Prop. Aceh                    ,"Jalan Utama, Lingkar Kampus, Rukoh, Darussalam, Banda Aceh",,Kota Banda Aceh               ,www.akpertnd.ac.id,0651-7555885,akpertnd@yahoo.com
Kementerian Dalam Negeri,PTK,344008  ,Akademi Analis Kesehatan Pemerintah Aceh,Akademi,Prop. Aceh                    , Jl. Tgk. H. Mohd. Daud Beureueh No. 168 A Banda Aceh,,Kota Banda Aceh               ,www.aak-aceh.org,065131368,aak.aceh@gmail.com
Kementerian Dalam Negeri,PTK,344005  ,Akademi Keperawatan Pemkab Aceh Tenggara,Akademi,Prop. Aceh                    ,JL. KUTACANE BLANGKEJEREN KM. 4 KAB. ACEH TENGGARA,,Kab. Aceh Tenggara            ,-,062921785,akper.pemkab@yahoo.com
Kementerian Dalam Negeri,PTK,344003  ,Akademi Keperawatan Pemkab Aceh Selatan,Akademi,Prop. Aceh                    ,JL. MERDEKA NO. 253 - TAPAKTUAN,,Kab. Aceh Selatan             ,-,(0656) 21374,akperacehselatan@gmail.com
Kementerian Dalam Negeri,PTK,344007  ,Akademi Kebidanan Pemkab Aceh Tengah Takengon,Akademi,Prop. Aceh                    , Jalan Sengeda kecamatan Kebayakan  Kabupaten Aceh Tengah Provinsi Aceh,,Kab. Aceh Tengah              ,akbidpat.ac.id,(0643)21316,akbiidmail@gmail.com
Kementerian Dalam Negeri,PTK,344001  ,Akademi  Keperawatan Pemkab Aceh Utara,Akademi,Prop. Aceh                    , ,,Kab. Aceh Utara               ,http://akkesacehutara.ac.id, 0645-41868, akper.acut@yahoo.com
Kementerian Dalam Negeri,PTK,344006  ,Akademi Kebidanan Pemkab Aceh Utara Lhokseumawe,Akademi,Prop. Aceh                    , Jalan Medan-Banda Aceh Km.6 Buket Rata Lhokseumawe,,Kab. Aceh Utara               ,http://akkesacehutara.ac.id,0645-41868,akbidpemkab_acehutara@yahoo.co.id
Kementerian Dalam Negeri,PTK,344002  ,Akademi Keperawatan Pemkab Pidie Di Sigli,Akademi,Prop. Aceh                    , ,,Kab. Pidie                    , -, 0653-21913, Akper_pemkabpidie@yahoo.co.id
Kementerian Dalam Negeri,PTK,344009  ,Akademi Farmasi Nad,Akademi,Prop. Aceh                    , Jalan Syiah Kuala No. 6,Kec. Kuta Alam                ,Kota Banda Aceh               , akfar-pemaceh.ac.id, 0651636184, akfar.pem.aceh@gmail.com
Kementerian Dalam Negeri,PTK,344050  ,Akademi Kebidanan Pemprov Bali singaraja,Akademi,Prop. Bali                    , Jalan Bisma Barat No 25A Singaraja ,,Kab. Buleleng                 ,www.akbiddinkesbali.com,03627001042,akbidpemprovbali@yahoo.com
Kementerian Dalam Negeri,PTK,344069  ,Akademi Keperawatan Pemkab Belitung,Akademi,Prop. Bangka Belitung         , Jalan Jenderal Sudirman Tanjungpandan - Belitung,,Kab. Belitung                 ,www.akperbelitungkab.ac.id,(0719) 23053,akperbelitung@gmail.com
Kementerian Dalam Negeri,PTK,344030  ,Akademi Keperawatan Jayakarta Prov Dki Jakarta,Akademi,Prop. D.K.I. Jakarta          ,"Jl. Tanah Merdeka V Kav . 26



Kel . Rambutan , Kec . Ciracas Jak Tim



",,Kota Jakarta Timur,http://akper-jayakarta.jakarta.go.id,021 8403657,kampusakperjayakarta@yahoo.co.id
Kementerian Dalam Negeri,PTK,344023  ,Akademi Farmasi Propinsi Jambi,Akademi,Prop. Jambi                   ,Jln. H.AGUS SALIM NO. 23 KOTA BARU JAMBI ,,Kota Jambi,akfarpemprovjambi.ac.id,0741 - 40931,akfarjambi@gmail.com
Kementerian Dalam Negeri,PTK,344022  ,Akademi Analis Kesehatan Provinsi Jambi,Akademi,Prop. Jambi                   , Jln. H. Agus Salim No.15 Kota Baru Jambi,,Kota Jambi,http://www.aakjambi.ac.id/,074141331,aakjambi00@gmail.com
Kementerian Dalam Negeri,PTK,344032  ,Akademi Keperawatan Pemkab Indramayu,Akademi,Prop. Jawa Barat              , ,,Kab. Indramayu, , (0234) 272551, akperpemdaindramayu06@gmail.com
Kementerian Dalam Negeri,PTK,344031  ,Akademi Keperawatan Pemkab Sumedang,Akademi,Prop. Jawa Barat              , Jalan Margamukti  No. 93  Desa Licin Kecamatan Cimalaka kabupaten Sumedang,Kec. Cimalaka                 ,Kab. Sumedang                 , www.akper-sumedang.ac.id, 203084 - 205172, akper.pemkabsmd@gmail.com
Kementerian Dalam Negeri,PTK,344035  ,Akademi Keperawatan Pemkab Cianjur,Akademi,Prop. Jawa Barat              , Jl. Pasir Gede Raya No. 19 Cianjur Jawa Barat,,Kab. Cianjur                  ,www.akperpemkabcianjur.co.id,(0263) 267206,cianjurakper@yahoo.co.id
Kementerian Dalam Negeri,PTK,344033  ,Akademi Keperawatan Pemkab Garut,Akademi,Prop. Jawa Barat              , JL. PROKLAMASI NO. 05 TAROGONG GARUT,,Kab. Garut                    ,akperpemkabgarut.ac.id,(0262)232212,akperpemdagarut@ymail.com
Kementerian Dalam Negeri,PTK,344034  ,Akademi Keperawatan Pemkab Subang,Akademi,Prop. Jawa Barat              , JALAN BRIGJEN KATAMSO NO.37 SUBANG JAWA BARAT,,Kab. Subang                   , ,0260 412520,akperpemkabsubang@yahoo.com
